"Sequence","Score"
"617-26X7/6/2211-163","86"
"18X514/X-535X9/7-","123"
"3281XX526/4/615/72","126"
"5-XX22X4/6/9/717/X","145"
"XX63332/9/32274/-/3","129"
"X7-X9-9/X21XX8/7","153"
"1/7/X522/X3/9-8/1/-","150"
"XXXXX9-7-6/2/-/2","188"
"X2-9-X2734264-X3/7","107"
"XXX4134X5/X8-8-","155"
"8-X3-2/XXX22X43","138"
"X9-4/X-181X7-XX9-","141"
"XXX8/X6/7/XX5-","200"
"4/X9/1/274/-/7/5/XX","154"
"XXX2/9/8-2/-/613/9","169"
"6/X6-XXX2/XX1/-","185"
"X2/X9/-/-/X72156/2","146"
"X7241625/32224/X42","105"
"2562252/5/X3/X7/X44","155"
"81X9-XX-/-6-/9-X15","137"
"X-/XXXX9/4/8/4/9","214"
"XX2/2/XXX6-1/X6-","188"
"X7/9/9-9/7-546-5/81","133"
"14X8-9/4/714/X3/7-","134"
"X7/61XXX522/7/X22","173"
"4/XX2/9/XX9-16X53","183"
"-86/X6/3/1/1/417/9/-","131"
"X72X-87/-/7/1371X45","123"
"3/5/9-3/62232/1/X61","127"
"7/X-9-/8/X4/117--/1","137"
"3/359-9/-57/-75/4/8/-","104"
"8/X151/X7/XX7-3-","156"
"9/2/1/X-89/5/X1/X51","160"
"432/X4-9-XXXX9/5","178"
"X812235X-7X9-41X22","111"
"XXX4/9/XXX-5X51","199"
"XX3/X2/345212X9-","141"
"35X7-XXX1/X3/X--","173"
"X714/X-7X9-3/3/-6","127"
"XX6261225/8/XX9/1","161"
"XX8/2/5412718/X6/3","148"
"6/-/XX5/XX8-8/7-","173"
"X116/7-259/9/8/3/-9","114"
"5-156/7/X1/X7/5--/6","144"
"9/72X537/X336/-/3/5","132"
"9--/XX5/352/X239-","144"
"X8-8-XX8/7/XX8-","173"
"334/3/X9-3-18-64/15","102"
"7/X262/2/729/9/2/5/X","150"
"XX722-X3/XX-/12","151"
"8/4-7-4/4216-/5/2644","95"
"72XX8/3/XX2/X6-","174"
"4/X15X129-184-XXX","130"
"4/8-343/35XX33-/8/-","127"
"-/XX3/X6/XX-525","170"
"X9-X3-6271X6351X18","113"
"3325222/X3/XX8-41","136"
"18XX3/X1/-/XX6/6","184"
"X72-318-/1/7/254211","95"
"6/5/5/7-XX6/811/45","150"
"812-XXX9/2/X4/X44","180"
"-66/11X16-/X27-/4/7","122"
"-78/2/546-X9/53XXX","142"
"X-8-19/X236/X717/9","132"
"7/-/X3-3/3/71-/9/X-1","134"
"5/XX13XX272-12X82","134"
"XX1/XX4/X9/9-X-X","193"
"X9-8/X5/26X7-5/X71","150"
"XXX11X529/XX-/7","166"
"X-8267/X8/43273/36","126"
"7/XXX53XX4/-0X55","175"
"XX52X9-4251317/62","117"
"638-6/6-X9/X62257/-","122"
"XX-/9/X718/9/7/X81","180"
"61X1/-/7-X4/13XX8-","142"
"727154X18XX43XX33","141"
"5/X-854X1/7/25X71","137"
"6381X6/2161621/-0X8-","96"
"X4/2/9/728/439/7-44","130"
"415/9--/X7-XX7/8/1","153"
"X528/XX-/X-08-4/-","132"
"X1-2/7-4/6-X7/X26","124"
"9/XX1/XXX9-XX6-","210"
"6133625/43X4/X5-9/7","119"
"8-312-XX14X3/X41","115"
"X1561X61-/815/9/X31","133"
"8/-/631/9/XXX2-X7-","157"
"6/1/44X4/8/X31-76/8","134"
"2/X6-XX4/X534/5/3","160"
"4/4/5-812/9--4X2/X-1","126"
"-0-452XX1/52X9/72","120"
"1/X6/7/3/34X9-X-/9","157"
"9--/4126XXX8-723/2","141"
"8/33X34514/428/XX28","131"
"X13-68/X3/3/6/X4/1","144"
"X9/5/XX1/XX8-X73","190"
"6154X2/3/4-X3/XX81","154"
"718/X1/6/3/2/9/X-/2","160"
"2/XX72X63X7/4/2/-","159"
"5/231352222/22XX61","98"
"X15XX-87-7/X9-2/3","136"
"718/514/2/6/-/X-8X-9","132"
"-94/XX2/9/X2/X2/9","189"
"X-4XX2/42XX3/8/2","153"
"X6/X6/-/61XX2/XX","175"
"XX7/513/-372X-/5/1","136"
"9-X4/5/X9/-/-/2354","130"
"-6X5/X9/7/7-9-7/X31","150"
"X9/26X8-XXX439/8","162"
"8/X3/369/43X3671X8-","137"
"3/169-2/1/X5/8-8/X6-","140"
"5/5/X18X18-/5/X53","152"
"8-XX71X6/4/14XX-6","147"
"X5/X8/-7638--2X22","114"
"18X813/9-33XX6/3-","133"
"4/X81X5/-/9-42813/4","135"
"255-8/-/XXX2/5326","145"
"9/X2-XX4/81XX1/8","164"
"-/X9/9/XX3/26-48/6","162"
"149-342424X-/X81X8-","119"
"X-/8/X9/717/331261","132"
"XX9/9/9-2/XX6/31","179"
"3-36XX2/1/X14X9/3","138"
"3171X6251-0X719-X36","98"
"9/7/7-X3/42549/3-X63","125"
"1-XX3/5/5/XX7261","156"
"2/XX9-4/X6-1/8-X63","164"
"816/72X8-X7/6/X9/1","148"
"54X-/9/-/6-X9-X17","134"
"7-2-23X719/1/X8-X45","116"
"4-36X44358/X9-1/-/1","116"
"27425/XX2/X6/X12","153"
"X3/17XX7/3/X17X37","165"
"7/5/-67-2-22XX6/6/2","118"
"X53-/XX5/315/X7/8","166"
"446/X1161X9--9-/72","112"
"9-6/6/X32X-/X6281","140"
"7281727/451/6/3/2/-/2","113"
"4/X-47/6/7/-/XXX71","176"
"X7/X81X5--/5/XX27","164"
"365-112/X7/X21-5X81","116"
"4/4-X2/X1/-/62X9-","140"
"XXX5/2/7/X-/3443","171"
"2/8/X-/1/1/X9/X9-","168"
"72-/61X3/9-X7-X1/X","144"
"XXXXX3/9-2/4/36","197"
"223/-/54X6/33XX62","129"
"XXX2/X182281369-","151"
"X36X1/8--26/-14/X44","125"
"8/1/36X2/4--43/62X53","117"
"9-418/7/XXX8/34X44","167"
"8/9/257-XXX5-XX42","160"
"4/617/8-35XX3/X6-","142"
"X9-XX332/13X8/3/X","141"
"-524X432/9-X4/7-5/9","126"
"X7-XXX62X-2XX28","162"
"9-6/X3-611/62X722/8","122"
"3525X5/XX-22/9-2/7","134"
"4/8/4/6/41X9-6316X71","129"
"6/X51X9/9/5/4145X9-","143"
"6263X4-1/5/X-/622/1","125"
"3/X7/5/X63XXX9-","190"
"3/2--/8/X225-3/6351","106"
"5/3/3/4/X7/9-XXX-4","172"
"X367/9/X6/XXX2-","173"
"4/-37/9-4/3/X3/6/8-","136"
"-25/227-X-0XXX8/2","125"
"X3/7-34543/522/1/7/6","126"
"X32X9/5/X9-9/7/5/5","150"
"2/72X31348/8/2/X6/2","133"
"X1/7/418-XX3/7/52","146"
"6/XX5-81X8-6/X52","144"
"5341XXX1-7/XX-/1","147"
"XX2/X1/63X8/X43","171"
"5/234/4/X7/7-X7-4/1","130"
"5/5/X1/53X7/X43X91","162"
"-/X2/81XX2/8/X9-","175"
"3/5-1/5-4/8-9/129/6-","102"
"4/34XXXXXXXX43","241"
"X7-8/X7/X6271X4-","136"
"1/XXX7-X9/6/XX17","196"
"X5281X8-725/X3/6/1","135"
"XXXX6/9/628/X1/X","209"
"71-1-6X1-52X1/-8X34","89"
"4/9-X6/2/176/1/8-X7-","133"
"4/X1/62XX5/-/X81","167"
"71XX2/811/X2/-68/3","146"
"3/-/X2/4454-7535/X7-","133"
"XX3381X-/2/4/XX3-","156"
"-1614/9-8/9-9/-/7-X-4","112"
"356/44X2/3-XXX8/-","154"
"XX-4321/X81X5/X52","148"
"X52522/7245-92/7/8/9","129"
"X722/6/X5/X31-062","130"
"7/8/8/XX5/-42/X-1","147"
"7/2/X81X8-2381X8-","126"
"X8/-2-/4-1/634/-/7/X","122"
"547-171/17-93/8-X9/-","108"
"9-X6/9-34X-3X8-13","110"
"24151/62629-XXX7/X","150"
"4/4/X369/8/X8/X9/3","173"
"26X9-XX6-X81633/2","133"
"61X8/X546243545/-/1","120"
"X8/344-9-7/8-X424/6","117"
"-/X3/X54124/2/63X-6","144"
"1-X8/7121X3-5/XX34","125"
"3/6/11XX71X8/9-X34","147"
"8/X3253X17-/41X9/-","123"
"XXXX8--/2/52X45","176"
"1521X817-X8-XX3/1","124"
"6/X9-9/33XX9/X6/8","174"
"X8/X6-X229-53XX35","138"
"-/9--/3/8-9/X7-XX53","154"
"X4/9-X3/8/2-1/71X5-","140"
"15X45-1XX8/XX5/2","160"
"2/XXX41-/1/63-/62","154"
"X4423XX8/436144X9-","134"
"X6/2-9-6-X-7-41/8/3","108"
"815/8/X5/X9/9/X27","174"
"XX3/XX-/XX7/X--","200"
"9-XXX6/9/9/4/XX71","202"
"X4/54XXX5/61XX-4","176"
"XXX2/X8/XXX4-","204"
"X-7-7XX624-5/XX54","151"
"6/-/X1342-91/9/617-","112"
"7/5/15X3/X2/45X81","143"
"163/3612X243/312/X28","111"
"X612/XXXX7171X-3","178"
"9/2571X549/X6-9/X4-","131"
"XXX1/X6-6-721/24","146"
"7/X9/43527/339-7-8/6","119"
"-/27X9/XX3/XXX91","203"
"63X-8-3328/42X41-4","87"
"6/6/7/XX8-7/X2653","161"
"XX62318/3/X26X71","141"
"6/213/17XX4/X715/3","137"
"9/1/72X361/9/4/622/9","141"
"9-63X7/6/6/2/XX25","148"
"71XXXXX15729/3/7","180"
"XX2/X331-X-5X11","119"
"429-35-632219--/X9/5","101"
"2/8/7/X3421X-9-/-/7","137"
"168/8/3/3/-/X72X14","129"
"X272/8/448/6-4-2/X72","133"
"7-X532/15-87/5-161/9","104"
"3/X8/9/714/5-X7/9/1","154"
"7/XX316/X2/8-5/XX","167"
"1/8/812-4-XXX9-9-","147"
"XX5/XXXXXXXX","265"
"4/X-/X35X33X81-9","145"
"4/2327X713/8/8/4/8/-","130"
"X3/9-X279/7-183/-/1","130"
"624/724316X187/-8-5","99"
"526/1/16XXX2/6381","142"
"8--5X8/X6/X1/6/8/8","165"
"4/X9/4/X-/X9-8-X--","160"
"8/1/XX164/X51XX82","166"
"X13-/X4/X8/7/1/11","139"
"7/X6/9-X8-6/43XX64","161"
"358/X4--/-9X52147/6","110"
"7113619-8-X63X549/8","110"
"427/44719-X5/X1/X91","145"
"9-X5-5-X6/XXXX23","171"
"545/X5/6/7-X3/XXX","179"
"5/5/33X53X129-4/5/6","116"
"XXXXX-43-224/6-","157"
"5-1/-/2/6/4-X-2X6/5","110"
"2/4/X239/X35X187/3","141"
"9/XX8/4/-2X3/8/-/2","154"
"X9-X8-8--/9-7/8114","122"
"4/3/XX1/8/3/X5/8-","171"
"41X9/7/X2/7-3/X4/8","164"
"9-8126-2-5X62X62X-3","98"
"6/X-3X6344173/X33","122"
"X715/7-X45X-1X81","118"
"274/XX8/42-/-/-/2/6","145"
"62XXX5353369--/X42","151"
"3/329/277/9/12X36X91","120"
"9-5/-/514/XX6/536-","135"
"4417X7/726/XX72X31","151"
"X532152X3671X5-X63","111"
"544/X7/34-49/5/346/3","121"
"X721/9-4/633/-8-98/1","119"
"71XX8/8-6/8163818/-","137"
"X5/8/35445/X8/X54","155"
"X621/X5/-7XX151/5","141"
"4-X6/9-X9/6/XXX62","182"
"255/144/XX4/4/X-/5","156"
"1/4/X11XX3/63X8-","142"
"X7/35X6/6/9/3/5/81","151"
"1/5-3/XX5/43-/X-/3","159"
"4/547-9-9-4/X11-01/8","101"
"X9-2/1/-31/X6372-/9","128"
"X9-X5/7/X-65-6/8-","138"
"XX21X4242-223-02/6","89"
"5/-22/4/X9-3/4/5/2/-","125"
"X3/6-624/185-3345X41","105"
"X164126X546/6/6/2/5","124"
"XX5/6/7/3/233/18X36","147"
"-/8-542/4/X5-XX61","139"
"8/X23XX4/9-9-4/X64","161"
"6/5/X8/7/4/268/626-","136"
"71XX9/XXX6/5/3/9","200"
"6/14432/7/7/8/417/21","109"
"X8-9-7/3-22XX3/X32","133"
"51X1/X4/XX21X8-","150"
"18X8/X21X3/3/62-7","129"
"-/5-X531/3412XX25","115"
"X-56-8/4/X3/-381X-4","116"
"3/2/6/XX6/314-9--/4","138"
"6/612371X9/XX5/X64","161"
"81XXX259/173/X4/9","163"
"5/1-9/6/6/X2/-1X2/2","127"
"X1/62XX5/X5/XX-5","184"
"XX453/54XX71718/3","150"
"X1/2/45X7/4/X2415","137"
"XX9/54-/546/324/5/8","148"
"2-63-8X8/X-/2/-/2-","115"
"-2-97/9/815/6/XX42","139"
"315/7/X63X9/61-/62","136"
"8/24719-X232/5/3/7/3","113"
"X4/2244814/X2/X9-","141"
"515-42X-51/5/-/221/3","91"
"1/614/X72X423/813/6","136"
"241/71X5-X9/18X3/5","126"
"9/X4/33XX5/7/81X9-","167"
"X1/X125/81X157/-/-","125"
"-9-318X4-63XXXX91","157"
"6/2/4/3/X5/9/X62X71","162"
"449--3X2/7-331/X5/1","121"
"-481-53-81X81X7/X13","112"
"9-61-/1/XX72X5/9-","150"
"269-44-/X61XX9/5/3","146"
"6/7/3/2/9/-42/9-6133","116"
"3672XXX819/36X8/9","165"
"-6X53X6/8-2/6/5/3/8","140"
"712/X4/7-X5/XX6/4","172"
"45XXX81XX8/5/33","177"
"X52519/8/XX-/XX91","177"
"9-22X9/322118X6/-6","99"
"X629-X6/X41-25/6/4","127"
"XXX2/413-4/X-/XX","174"
"XX9-71X11X7231XX","131"
"259-1/8/XX819-9/2-","133"
"XXXX4/2/X3/XX46","220"
"XX8/7/-/X1/X7/X21","188"
"423/-/X3/63XXX2/7","170"
"X813-6213143/81227/-","89"
"XX9-XXX9-81-/1/5","179"
"XX9/-/8-9/21X8/36","142"
"X131/X8-X4/X7/9/X","163"
"X5/3/XX5/4/432/-/-","153"
"3/4/XX6-2/5/X6/6/5","168"
"X81XX7/2/XX6136","166"
"51218-24-59/272/7/18","86"
"3/XX9/-2X1/7/XX35","179"
"7-3/X-/XXX6/2/27","176"
"31X7-XXX8/43-/-/2","149"
"129/458-6/-/2/52-743","92"
"XXX7/1/X-0X448-","152"
"-1-9-21543X-/X8-X53","109"
"627/3/7/6/XX8-XX81","175"
"6263-/634/X9-8/9/X8-","147"
"X-53/62-21/727/XX9-","140"
"5/-33/X8/X1/X72X18","160"
"XX1/539-7/42X312/6","127"
"X8/325-X122/-/X81","117"
"41X51-/4362164-8-8-","83"
"3615XX8/X9/X53-5","154"
"X7/3141X435/448/71","113"
"5-3/7/X627-9/X1/9/6","150"
"1/-/9-9-X355/-2X62","111"
"7-4/349-3/2/XXXX43","169"
"X356/X727/8-219/12","117"
"25626/XX7-216/43X72","129"
"7/719-7/X2/X8-24XX","146"
"7/X6/459/X8/8/9-XX","169"
"62XX233-X45X8/X62","139"
"XX1/1/259/24X622/6","131"
"178/8/6/X1/XX5/53","170"
"45815-13X122/5/X9-","106"
"XX4/5/6/X3/X224/6","169"
"-61/1/4/62X62XX52","130"
"33X349-4/X5/6/XX33","154"
"X16-0X2/XX-/XX9-","172"
"X6/-141XX616/4/-/-","120"
"-/2/XX5/9/X811/41","163"
"31XX4/2/-1X7/X8/1","142"
"319/423123X3/2/7/41","101"
"XXXX2/7-3/218/1/4","166"
"5/9-9/-/1/XX15XX3-","148"
"X629/X7/X6--/6/X73","164"
"X13XX326/X2/X71","147"
"-/9-45X6/-563X1/-4","115"
"X-9-/185/9-X6/9-3/5","139"
"X1-8-63XXX9-X6/7","153"
"X2/7/X6/X9/X7-35","169"
"62X-9X8/3/9/X5/X9-","167"
"9-63X72X1/9/1-7/X44","135"
"X51X6343713-4/62X8-","110"
"716/9/X3627616-147/X","122"
"X24X3/X6/2/X62X55","160"
"XX9-2/X4/X313/27","156"
"8/XX3/725/5/9-X33","154"
"5/7/X1/-/8-2/X9-4/1","152"
"6/X4/8-X1/5/4-8/72","145"
"7/5/X3-X-0-9X353/3","109"
"7/33-/4/-6-2-171531-","69"
"6/XX8/81X1/4/629/9","172"
"6/7-X9-63817/329/16","106"
"X3/-/816/X624/X21","139"
"5-3/6/61729--9X71X14","112"
"259/455/X72155362XX","120"
"7/X637/7/2/X3/517/9","157"
"XX7/X7/XX6/XX11","206"
"6/X722/5/72X9-7172","134"
"134-X51XX6/X5/X8-","154"
"X1/5/812/9/XXXX-X","201"
"XX9-X1/27XX629-","159"
"1/9-X9-8-XX3/-/8/X","155"
"X9-2-36-/X2/12X4/X","133"
"145/132/81634-33632/4","89"
"8-9/-4X7/5-X3-1/-/3","101"
"8-43XXX42X2/-/51","142"
"XX4/3-X-1-/444/63","119"
"-58-6/9-X9/3/8-6-1/X","126"
"X9/X9--9-/6-7/XX5-","159"
"X8/63X-/514/7/7-8/8","145"
"1/7/X138-X414/X9/1","134"
"318/5/6/71XX217/-2","110"
"9-729-26XXX4-6/8/4","139"
"6/-78/2/XX6-6/3/X41","145"
"XX1/9-54XX6/3/-/5","162"
"2/1/723413XXX-83-","127"
"X36XXX1/XX5/X6-","200"
"X7/X259-11X518/1/-","118"
"9-6/X9/8/4/5/-4X5/-","140"
"-/X542/5-X4/11-/X71","139"
"X818/9/53X7/8/1/X44","157"
"216/72-/X5/XX543/4","156"
"XX61X8-334/X8/7-","146"
"X51X8/XX-9X72X31","152"
"X3/XX-/6/X7/4/-1","161"
"-73172XX259-3/8-72","110"
"-/2/81-/21X2232X5/1","108"
"X1/6/7/XXX63X5-","177"
"7/3/234-21-1X44-/X-2","96"
"X-/X7/X5/7/357-X34","162"
"9-X3/XXXX449/X72","198"
"1/4/619/8/X4/424/X24","151"
"X6/X9/2/179/XXX9-","189"
"7/2/9-16XX634/X54","149"
"62XX4-15342/X4/5/8","136"
"-95/XX72X169/7/9-","153"
"5/X3-187/X359-6-33","112"
"212/X1-4/X54215181","101"
"X8/7/X35X9-6/X2/7","168"
"8124XXX25X6-1/X45","152"
"5/4/235/X622/X636/5","140"
"8-25X1/XXXX818/5","186"
"-/1/7-X2/X-/455441","132"
"XX4--/XX818/X6/6","174"
"5/XX8/9/1/5/2/4-4/2","155"
"3472-8158-232/XX2/7","122"
"-/X8/X4/4/71X1/4/4","167"
"7/12X248/XX71-/X9-","148"
"-3X8-X8/9/5/X3/9-","151"
"XXXX-/2245X-/33","164"
"X-8611/X9/XX8/7/X","178"
"-/X8-2/8/-/8/41X4/X","151"
"72X-/4/2/-32/XX8/4","150"
"719/4/X8-6/212/63X71","126"
"2/X7/X-/512/2/XX73","180"
"XXX7/4/2/XXXX9-","231"
"X32XX-/8/1/357241","124"
"XX2/X9-X5/8/X4/-","178"
"7-X53XX8/7/6/X53","160"
"X14-/9/1/5/X7/X8/6","161"
"-/X18611/X11X3-5/9","124"
"71X7/-3314/618-X7/1","107"
"X9-8/XXX7-X27-4","161"
"6/728/XXX4/276/9-","169"
"5/X1/XX81XX-/6/8","190"
"81XX811/XX4/1/X7-","177"
"4/XXX339/3/23X4/7","162"
"633-X6/5/711-237-2/1","96"
"-6X3661X5/-426XX-1","114"
"X8/XX2-1/XX7-6-","153"
"2/2/X3/1/3/-02/1/X5-","132"
"9-2/9/XX8-XXXX43","203"
"-/XX44XXX1/XX55","206"
"713/2343446/8/-3-18/6","88"
"1/X4/X627/7127XX45","163"
"1/2/5/X7-X1/XX53","162"
"-/35344/1/7/458/4/X62","131"
"XX52X5/5/X7-3/-4","142"
"1/5/-3X3/5-XX1/X61","146"
"9/2/1/X319/45X6/62","128"
"9/6/XXX33361/XX23","177"
"6-XX1/XX6/XXX73","210"
"45-/4/621/2/X3/162/X","137"
"X3/XX4-X2/7/XX8-","185"
"9/5/7/6-X5/X1/X-3","150"
"5/XX4/547/X7-5/X51","168"
"X4/11X271/637/4/61","123"
"XXXX63XX9-X81","199"
"8-X8114-/X52XX9-","142"
"3/X9-422/3/X1/X9-","155"
"632-6/623/9--/8113-/1","105"
"7/X274/XX5/5-12-/4","150"
"7/XXX81-581X1653","152"
"8/81547/5/X9-511532","116"
"XXX9--/62X7/9-31","163"
"XX2/34XX5/2/3/24","150"
"9-5/X-4X6-8-7/XXX","147"
"36-68-3-52-6X623222","74"
"X8-7-XX9/153/9-X91","147"
"XXX9/41-8X6-43XX","155"
"63X7/2/8-7225X4451","115"
"62348-721/9-224/X71","110"
"X5/X-1X54622/XX31","145"
"X815/8-1/1/XX2/-/7","154"
"-/54X4/32X3/36X5/3","137"
"X-9X16-89/X6/62-/8","142"
"5/546/9/-6X1/527/-/1","122"
"-39/9-X-/X3/339/3-","126"
"7/4/1462XX817/X-/2","146"
"XXXX357-XX1/-/8","185"
